ID,goods_url,reviews_url
0-000093,https://www.amazon.es/Cloer-5918-Independiente-espresso-inoxidable/dp/B07H8CZHH8/ref=sr_1_109?dib=eyJ2IjoiMSJ9.mhDDd61Aq8pY8EYlI8UdWcn-QP7NK0N8wjJ7QEeY6IqKbjrdyh_VDx5SJya939DPLpM4qCwnQH7KBTOQ7jaEwwx_EI5H-xKNg029pRpA3LpnaxlCy1CvpfchBo0Bj8CDU5vRhiM5Lqa1J3cfXK_FPmeU_RxxCkv2H1oD3odzRGG0ZDWG-VvIwnmgrNvyk9JIaW3No_1G8az3GsDA1p8ok_tV7fK2YrZTgH0RXZkvl-DVJAp4ZFTMsYhgVoTfCWWJ.jIMTuoli1hARwcWdBJ2du58XPWn9yJKkcvSUJ66pFnU&dib_tag=se&qid=1721763249&s=kitchen&sr=1-109&ufe=app_do%3Aamzn1.fos.5e544547-1f8e-4072-8c08-ed563e39fc7d&th=1,https://www.amazon.es/Cloer-5918-Independiente-espresso-inoxidable/product-reviews/B07H8CZHH8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000094,https://www.amazon.es/Cecotec-Tradizionale-Tecnolog%C3%ADa-Vaporizador-Desmontable/dp/B0BQ1V14W5/ref=sr_1_111_sspa?dib=eyJ2IjoiMSJ9.mhDDd61Aq8pY8EYlI8UdWcn-QP7NK0N8wjJ7QEeY6IqKbjrdyh_VDx5SJya939DPLpM4qCwnQH7KBTOQ7jaEwwx_EI5H-xKNg029pRpA3LpnaxlCy1CvpfchBo0Bj8CDU5vRhiM5Lqa1J3cfXK_FPmeU_RxxCkv2H1oD3odzRGG0ZDWG-VvIwnmgrNvyk9JIaW3No_1G8az3GsDA1p8ok_tV7fK2YrZTgH0RXZkvl-DVJAp4ZFTMsYhgVoTfCWWJ.jIMTuoli1hARwcWdBJ2du58XPWn9yJKkcvSUJ66pFnU&dib_tag=se&qid=1721763249&s=kitchen&sr=1-111-spons&ufe=app_do%3Aamzn1.fos.5e544547-1f8e-4072-8c08-ed563e39fc7d&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl&th=1,https://www.amazon.es/Cecotec-Tradizionale-Tecnolog%C3%ADa-Vaporizador-Desmontable/product-reviews/B0BQ1V14W5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000095,https://www.amazon.es/dp/B0BJ6X7D8B/ref=sspa_dk_detail_1?pd_rd_i=B0BJ6X7D8B&pd_rd_w=Io7O2&content-id=amzn1.sym.16e80c5a-02ca-4e26-b568-17a6666ff4f0&pf_rd_p=16e80c5a-02ca-4e26-b568-17a6666ff4f0&pf_rd_r=43DF50CXF26N6TX3WQTH&pd_rd_wg=bJhTB&pd_rd_r=89f78bf8-8577-4cf2-94a0-65e618b0372a&s=kitchen&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&th=1,https://www.amazon.es/Cecotec-Cafelizzia-Cappuccino-Thermoblock-Vaporizador/product-reviews/B0BJ6X7D8B/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000096,https://www.amazon.es/Cecotec-Thermoblock-Vaporizador-Orientable-Portafiltros/dp/B0BQ1JD74H/ref=pd_ci_mcx_pspc_dp_d_2_t_3?pd_rd_w=0MEMQ&content-id=amzn1.sym.f11fe75a-7397-412e-9b90-7e09bf6f5c14&pf_rd_p=f11fe75a-7397-412e-9b90-7e09bf6f5c14&pf_rd_r=8NHNRXGY7RKZTF3G325X&pd_rd_wg=sYqnk&pd_rd_r=27c2e492-8733-47c8-9250-2b645a19401e&pd_rd_i=B0BQ1JD74H&th=1,https://www.amazon.es/Cecotec-Thermoblock-Vaporizador-Orientable-Portafiltros/product-reviews/B0BQ1JD74H/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000097,https://www.amazon.es/Cecotec-Programable-Capacidad-Tecnolog%C3%ADa-ExtemAroma/dp/B0BNJN4W2G/ref=pd_ci_mcx_pspc_dp_d_2_t_2?pd_rd_w=XKXNQ&content-id=amzn1.sym.f11fe75a-7397-412e-9b90-7e09bf6f5c14&pf_rd_p=f11fe75a-7397-412e-9b90-7e09bf6f5c14&pf_rd_r=X862RAH8M82E9F68RF1K&pd_rd_wg=Pn7Al&pd_rd_r=a7602e87-7afc-48f2-91f2-e39f1d9b6ea6&pd_rd_i=B0BNJN4W2G&th=1,https://www.amazon.es/Cecotec-Programable-Capacidad-Tecnolog%C3%ADa-ExtemAroma/product-reviews/B0BNJN4W2G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000098,https://www.amazon.es/YUCHENGTECH-Cafetera-el%C3%A9ctrica-calentador-infrarrojo/dp/B07PTPNB86/ref=sr_1_115?dib=eyJ2IjoiMSJ9.mhDDd61Aq8pY8EYlI8UdWcn-QP7NK0N8wjJ7QEeY6IqKbjrdyh_VDx5SJya939DPLpM4qCwnQH7KBTOQ7jaEwwx_EI5H-xKNg029pRpA3LpnaxlCy1CvpfchBo0Bj8CDU5vRhiM5Lqa1J3cfXK_FPmeU_RxxCkv2H1oD3odzRGG0ZDWG-VvIwnmgrNvyk9JIaW3No_1G8az3GsDA1p8ok_tV7fK2YrZTgH0RXZkvl-DVJAp4ZFTMsYhgVoTfCWWJ.jIMTuoli1hARwcWdBJ2du58XPWn9yJKkcvSUJ66pFnU&dib_tag=se&qid=1721763249&s=kitchen&sr=1-115&th=1,https://www.amazon.es/YUCHENGTECH-Cafetera-el%C3%A9ctrica-calentador-infrarrojo/product-reviews/B07PTPNB86/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000099,https://www.amazon.es/DOMETIC-9600000339-Perfectcoffee-Cafetera-Taza/dp/B06WWNR2Y2/ref=sr_1_117?dib=eyJ2IjoiMSJ9.mhDDd61Aq8pY8EYlI8UdWcn-QP7NK0N8wjJ7QEeY6IqKbjrdyh_VDx5SJya939DPLpM4qCwnQH7KBTOQ7jaEwwx_EI5H-xKNg029pRpA3LpnaxlCy1CvpfchBo0Bj8CDU5vRhiM5Lqa1J3cfXK_FPmeU_RxxCkv2H1oD3odzRGG0ZDWG-VvIwnmgrNvyk9JIaW3No_1G8az3GsDA1p8ok_tV7fK2YrZTgH0RXZkvl-DVJAp4ZFTMsYhgVoTfCWWJ.jIMTuoli1hARwcWdBJ2du58XPWn9yJKkcvSUJ66pFnU&dib_tag=se&qid=1721763249&s=kitchen&sr=1-117,https://www.amazon.es/DOMETIC-9600000339-Perfectcoffee-Cafetera-Taza/product-reviews/B06WWNR2Y2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000100,https://www.amazon.es/WACACO-Minipresso-NS2-Compatible-Compatibles/dp/B0BFH7V73L/ref=pd_ci_mcx_pspc_dp_d_2_t_2?pd_rd_w=BNKLV&content-id=amzn1.sym.f11fe75a-7397-412e-9b90-7e09bf6f5c14&pf_rd_p=f11fe75a-7397-412e-9b90-7e09bf6f5c14&pf_rd_r=9J21ST87DTT8WSZVWTW6&pd_rd_wg=3hSRK&pd_rd_r=b3e720d4-bcda-434e-9e84-aba8e8ccbe34&pd_rd_i=B0BFH7V73L,https://www.amazon.es/WACACO-Minipresso-NS2-Compatible-Compatibles/product-reviews/B0BFH7V73L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000101,https://www.amazon.es/dp/B0BRKDRPWR/ref=sspa_dk_detail_1?pd_rd_i=B0BRKDRPWR&pd_rd_w=ByKPz&content-id=amzn1.sym.16e80c5a-02ca-4e26-b568-17a6666ff4f0&pf_rd_p=16e80c5a-02ca-4e26-b568-17a6666ff4f0&pf_rd_r=F448GMESZR46QPV5TSK8&pd_rd_wg=G9VPe&pd_rd_r=e73cab1a-4de0-40da-ab5e-e2465cdf9ba8&s=kitchen&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&th=1,https://www.amazon.es/Outin-el%C3%A9ctrica-autocalentamiento-compatible-senderismo/product-reviews/B0BRKDRPWR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000102,https://www.amazon.es/dp/B078GM6FFH/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B078GM6FFH&pd_rd_w=ByKPz&content-id=amzn1.sym.16e80c5a-02ca-4e26-b568-17a6666ff4f0&pf_rd_p=16e80c5a-02ca-4e26-b568-17a6666ff4f0&pf_rd_r=F448GMESZR46QPV5TSK8&pd_rd_wg=G9VPe&pd_rd_r=e73cab1a-4de0-40da-ab5e-e2465cdf9ba8&s=kitchen&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy,https://www.amazon.es/Nanopresso-accesorio-espresso-port%C3%A1til-Nanopresso/product-reviews/B078GM6FFH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
